"HHS_region","pathogen2","chi","loglik"
6,"fluA",0.579979313761292,-14084.7578534547
6,"fluA",0.609979313761292,-14017.0675503625
6,"fluA",0.639979313761291,-13916.4291363292
6,"fluA",0.669979313761291,-13897.0930475809
6,"fluA",0.699979313761292,-13883.1884318676
6,"fluA",0.729979313761292,-13874.1774149722
6,"fluA",0.759979313761292,-13869.830496976
6,"fluA",0.789979313761291,-14080.2640932342
6,"fluA",0.819979313761292,-14081.8846174792
6,"fluA",0.849979313761292,-14075.0126200966
6,"fluA",0.879979313761291,-14067.3568601134
6,"fluA",0.909979313761291,-14060.0955815241
6,"fluA",0.939979313761292,-14053.3876716066
