"Pathogen2","HHSregion","variable","neutral","psi","chi","co_infect"
"fluA",1,"R2",0.825811182787198,0.844705277799287,0.852979097151068,0.863557017525668
"fluA",1,"RMSE",62.4664568306626,52.508542579225,50.3574074212114,49.3013498934555
"fluA",2,"R2",0.759731133709537,0.759400839850638,0.759160853698883,0.759161735822395
"fluA",2,"RMSE",91.618217132955,91.3831981546714,91.2831426237654,91.2830374112343
"fluA",3,"R2",0.781975513348298,0.797192464672317,0.818143194533316,0.839494744761591
"fluA",3,"RMSE",97.2049273581297,96.195426843643,85.9031468901435,85.3715768066481
"fluA",4,"R2",0.561648949528884,0.563006291066666,0.573387200150789,0.574832031021559
"fluA",4,"RMSE",134.755248755833,134.292980830742,126.894051374174,126.79359137747
"fluA",5,"R2",0.805507942038137,0.809183189066638,0.809366246518544,0.816723084852966
"fluA",5,"RMSE",203.480992829438,191.867285934906,191.201827324867,189.744452021429
"fluA",6,"R2",0.697677719402871,0.709155244206595,0.69767679636907,0.711456086996894
"fluA",6,"RMSE",143.434684495391,143.40924467247,143.434688458683,142.849586340001
"fluA",7,"R2",0.723687847689327,0.728951972243515,0.729544988778835,0.747306948655986
"fluA",7,"RMSE",42.2721615305893,42.2154310322979,41.7330610332363,39.6037162603902
"fluA",8,"R2",0.781655116841286,0.78167716482418,0.781692701407784,0.781681053407432
"fluA",8,"RMSE",99.5577154655874,99.5582393964712,99.5560272674768,99.5621047559337
"fluA",9,"R2",0.587037857434196,0.771244393931342,0.815034880121407,0.81519996643693
"fluA",9,"RMSE",197.403575744251,150.026038767056,146.668495400832,146.813173858382
"fluA",10,"R2",0.776539051909928,0.774422022832175,0.785519253792402,0.78572167190875
"fluA",10,"RMSE",50.9466729319276,50.8063734412011,48.3842431014283,48.4131151156587
"fluA",1,"deltaAIC",2962.06260167295,1004.80975640114,417.539550843733,0
"fluA",2,"deltaAIC",138.943311532938,4.53967798604208,0,2.00011976816313
"fluA",3,"deltaAIC",3727.82576989957,3272.44151667313,879.330686732877,0
"fluA",4,"deltaAIC",2195.27349982736,2071.34541283291,7.46907378761171,0
"fluA",5,"deltaAIC",6292.20248232512,1071.5480001817,620.595726544732,0
"fluA",6,"deltaAIC",436.157500869664,342.301933266383,438.15750366314,0
"fluA",7,"deltaAIC",795.274557076807,716.160204303971,490.716745174646,0
"fluA",8,"deltaAIC",0,2.00432960479884,2.00301592264441,4.01224866674966
"fluA",9,"deltaAIC",1960.47288636039,2038.3509917689,0,15.9238597404801
"fluA",10,"deltaAIC",645.561740683308,612.236623698307,0,3.32001367568591
